,USPS,ST,NAME,ZCTA5,LAT,LON
0,Aveiro,02,Zona Industrial En 1 Norte,3750-000,40.5613,-8.3816
1,Aveiro,02,Alcafaz,3750-011,40.5755,-8.3247
2,Aveiro,02,Caselho,3750-012,40.5619,-8.3228
3,Aveiro,02,Corga da Serra,3750-013,40.5797,-8.3093
4,Aveiro,02,Bertufo,3750-013,40.5797,-8.3093
5,Aveiro,02,Foz,3750-014,40.5522,-8.3232
6,Aveiro,02,Guistola,3750-015,40.5344,-8.3106
7,Aveiro,02,Guistolinha,3750-016,40.5316,-8.3076
8,Aveiro,02,Lomba,3750-017,40.5408,-8.3031
9,Aveiro,02,Povinha,3750-018,40.5882,-8.3086
10,Aveiro,02,Vila Mendo,3750-019,40.5439,-8.3176
11,Aveiro,02,Felgueira,3750-020,40.5408,-8.3031
12,Aveiro,02,Boa Aldeia,3750-021,40.6041,-8.3577
13,Aveiro,02,Sobreira,3750-022,40.525,-8.3006
14,Aveiro,02,Côvo,3750-022,40.5408,-8.3031
15,Aveiro,02,Lázaro,3750-022,40.5168,-8.3044
16,Aveiro,02,Lousa,3750-022,40.5406,-8.3355
17,Aveiro,02,Aguada de Baixo,3750-031,40.5125,-8.4535
18,Aveiro,02,Alto da Póvoa,3750-031,40.5362,-8.4462
19,Aveiro,02,Borralha,3750-031,40.5115,-8.4507
20,Aveiro,02,Aguadela,3750-031,40.5362,-8.4462
21,Aveiro,02,Landiosa,3750-033,40.5183,-8.4552
22,Aveiro,02,Passadouro,3750-035,40.5101,-8.4393
23,Aveiro,02,Aguada de Cima,3750-041,40.5229,-8.427
24,Aveiro,02,Aguadalte,3750-042,40.5166,-8.3904
25,Aveiro,02,Almas da Areosa,3750-043,40.5166,-8.3904
26,Aveiro,02,Bustelo,3750-044,40.5125,-8.386
27,Aveiro,02,Cabeço Grande,3750-045,40.5166,-8.3904
28,Aveiro,02,Cadaval,3750-046,40.5144,-8.3581
29,Aveiro,02,Canavai,3750-047,40.5166,-8.3904
30,Aveiro,02,Carvalhitos,3750-048,40.5166,-8.3904
31,Aveiro,02,Engenho,3750-049,40.5166,-8.3904
32,Aveiro,02,Forcada,3750-050,40.5143,-8.4123
33,Aveiro,02,Formigueiro,3750-051,40.5802,-8.4627
34,Aveiro,02,Forno,3750-052,40.5802,-8.4627
35,Aveiro,02,Garrido,3750-053,40.5263,-8.424
36,Aveiro,02,Insuas,3750-054,40.5802,-8.4627
37,Aveiro,02,Miragaia,3750-055,40.5183,-8.4268
38,Aveiro,02,Pisão,3750-056,40.5241,-8.409
39,Aveiro,02,Pousadouros,3750-057,40.5802,-8.4627
40,Aveiro,02,Póvoa de Baixo,3750-058,40.5241,-8.409
41,Aveiro,02,Póvoa do Teso,3750-059,40.5802,-8.4627
42,Aveiro,02,Póvoa São Domingos,3750-060,40.532,-8.3762
43,Aveiro,02,Póvoa do Vale do Trigo,3750-061,40.5221,-8.372
44,Aveiro,02,São Martinho,3750-062,40.5384,-8.4124
45,Aveiro,02,Seixo,3750-063,40.5241,-8.409
46,Aveiro,02,Vale do Grou,3750-064,40.532,-8.3762
47,Aveiro,02,Vale do Lobo,3750-065,40.532,-8.3762
48,Aveiro,02,Vale Grande,3750-066,40.545,-8.4271
49,Aveiro,02,Cabeço da Igreja,3750-067,40.532,-8.3762
50,Aveiro,02,Cabeço da Lama,3750-068,40.532,-8.3762
51,Aveiro,02,Monte Verde,3750-069,40.532,-8.3762
52,Aveiro,02,Outeiro,3750-070,40.5241,-8.409
53,Aveiro,02,Águeda,3750-099,40.5772,-8.4444
54,Aveiro,02,Águeda,3750-100,40.5772,-8.4444
55,Aveiro,02,Águeda,3750-101,40.5772,-8.4444
56,Aveiro,02,Águeda,3750-102,40.5772,-8.4444
57,Aveiro,02,Águeda,3750-103,40.5772,-8.4444
58,Aveiro,02,Águeda,3750-104,40.5772,-8.4444
59,Aveiro,02,Águeda,3750-105,40.5772,-8.4444
60,Aveiro,02,Águeda,3750-106,40.5772,-8.4444
61,Aveiro,02,Águeda,3750-107,40.5772,-8.4444
62,Aveiro,02,Águeda,3750-108,40.5772,-8.4444
63,Aveiro,02,Águeda,3750-109,40.5772,-8.4444
64,Aveiro,02,Águeda,3750-110,40.5772,-8.4444
65,Aveiro,02,Águeda,3750-111,40.5772,-8.4444
66,Aveiro,02,Águeda,3750-112,40.5772,-8.4444
67,Aveiro,02,Águeda,3750-113,40.5772,-8.4444
68,Aveiro,02,Águeda,3750-114,40.5772,-8.4444
69,Aveiro,02,Águeda,3750-115,40.5772,-8.4444
70,Aveiro,02,Águeda,3750-116,40.5772,-8.4444
71,Aveiro,02,Águeda,3750-117,40.5772,-8.4444
72,Aveiro,02,Águeda,3750-118,40.5772,-8.4444
73,Aveiro,02,Águeda,3750-119,40.5772,-8.4444
74,Aveiro,02,Águeda,3750-120,40.5772,-8.4444
75,Aveiro,02,Águeda,3750-121,40.5772,-8.4444
76,Aveiro,02,Águeda,3750-122,40.5772,-8.4444
77,Aveiro,02,Águeda,3750-123,40.5772,-8.4444
78,Aveiro,02,Águeda,3750-124,40.5772,-8.4444
79,Aveiro,02,Águeda,3750-125,40.5772,-8.4444
80,Aveiro,02,Águeda,3750-126,40.5772,-8.4444
81,Aveiro,02,Águeda,3750-127,40.5772,-8.4444
82,Aveiro,02,Águeda,3750-129,40.5772,-8.4444
83,Aveiro,02,Águeda,3750-130,40.5772,-8.4444
84,Aveiro,02,Águeda,3750-131,40.5772,-8.4444
85,Aveiro,02,Águeda,3750-132,40.5772,-8.4444
86,Aveiro,02,Águeda,3750-133,40.5772,-8.4444
87,Aveiro,02,Águeda,3750-134,40.5772,-8.4444
88,Aveiro,02,Águeda,3750-135,40.5772,-8.4444
89,Aveiro,02,Águeda,3750-136,40.5772,-8.4444
90,Aveiro,02,Águeda,3750-137,40.5772,-8.4444
91,Aveiro,02,Águeda,3750-138,40.5772,-8.4444
92,Aveiro,02,Águeda,3750-139,40.5772,-8.4444
93,Aveiro,02,Águeda,3750-140,40.5609,-8.463
94,Aveiro,02,Águeda,3750-141,40.5772,-8.4444
95,Aveiro,02,Águeda,3750-142,40.5772,-8.4444
96,Aveiro,02,Águeda,3750-143,40.5772,-8.4444
97,Aveiro,02,Águeda,3750-144,40.5772,-8.4444
98,Aveiro,02,Águeda,3750-145,40.5772,-8.4444
99,Aveiro,02,Águeda,3750-146,40.5772,-8.4444
100,Aveiro,02,Águeda,3750-147,40.5772,-8.4444
101,Aveiro,02,Águeda,3750-148,40.5772,-8.4444
102,Aveiro,02,Águeda,3750-150,40.5772,-8.4444
103,Aveiro,02,Águeda,3750-151,40.5772,-8.4444
104,Aveiro,02,Águeda,3750-152,40.5772,-8.4444
105,Aveiro,02,Águeda,3750-153,40.5772,-8.4444
106,Aveiro,02,Águeda,3750-154,40.5772,-8.4444
107,Aveiro,02,Águeda,3750-155,40.5772,-8.4444
108,Aveiro,02,Águeda,3750-156,40.5772,-8.4444
109,Aveiro,02,Águeda,3750-157,40.5772,-8.4444
110,Aveiro,02,Águeda,3750-158,40.5772,-8.4444
111,Aveiro,02,Águeda,3750-159,40.5772,-8.4444
112,Aveiro,02,Águeda,3750-160,40.5772,-8.4444
113,Aveiro,02,Águeda,3750-161,40.5772,-8.4444
114,Aveiro,02,Águeda,3750-162,40.5772,-8.4444
115,Aveiro,02,Águeda,3750-163,40.5772,-8.4444
116,Aveiro,02,Águeda,3750-164,40.5772,-8.4444
117,Aveiro,02,Águeda,3750-165,40.5772,-8.4444
118,Aveiro,02,Águeda,3750-166,40.5772,-8.4444
119,Aveiro,02,Águeda,3750-167,40.5772,-8.4444
